5,12/01/14 02:31 AM,12/02/14 02:31 AM,Survey of Music History II,Allen (Stephen A.),09:45:00 AM,11:15:00 AM
6,12/01/14 02:31 AM,12/03/14 02:31 AM,Survey of Music History II,Allen (Stephen A.),09:45:00 AM,11:15:00 AM
7,12/02/14 02:31 AM,12/04/14 02:31 AM,The Music of Radiohead,Allen (Stephen A.),02:50:00 PM,04:20:00 PM
8,12/03/14 02:31 AM,12/05/14 02:31 AM,Quantitative Methods.,Amadio (William J.),01:10:00 PM,02:40:00 PM
9,12/04/14 02:31 AM,12/06/14 02:31 AM,Expository Writing,Amato (Mary),01:10:00 PM,02:40:00 PM
10,12/05/14 02:31 AM,12/07/14 02:31 AM,Expository Writing,Amato (Mary),02:50:00 PM,04:20:00 PM
11,12/06/14 02:31 AM,12/08/14 02:31 AM,Marketing Research,Amazeen (Michelle A.),09:45:00 AM,11:15:00 AM
12,12/07/14 02:31 AM,12/09/14 02:31 AM,Marketing Research,Amazeen (Michelle A.),11:30:00 AM,01:00:00 PM
13,12/08/14 02:31 AM,12/10/14 02:31 AM,Advertising Campaigns,Amazeen (Michelle A.),01:10:00 PM,02:40:00 PM
14,12/09/14 02:31 AM,12/11/14 02:31 AM,Acting II: Scene Study,Andrews (Anne M.),11:30:00 AM,12:30:00 PM
15,12/10/14 02:31 AM,12/12/14 02:31 AM,Psychology and Culture,Ansary (Nadia S.),01:10:00 PM,02:40:00 PM
16,12/11/14 02:31 AM,12/13/14 02:31 AM,Developmental Education Psych,Baer (John M.),08:00:00 AM,02:00:00 PM
17,12/12/14 02:31 AM,12/14/14 02:31 AM,Methd Tchg Math in Elem Class,Baldassarre (Cheryl A.),11:00:00 AM,02:00:00 PM
18,12/13/14 02:31 AM,12/15/14 02:31 AM,Marketing Principles,Bartholomew (Darrell E.),09:10:00 AM,10:10:00 AM
19,12/14/14 02:31 AM,12/16/14 02:31 AM,Marketing Principles,Bartholomew (Darrell E.),10:20:00 AM,11:20:00 AM
20,12/15/14 02:31 AM,12/17/14 02:31 AM,Internet Marketing,Bartholomew (Darrell E.),01:10:00 PM,02:10:00 PM
21,12/16/14 02:31 AM,12/18/14 02:31 AM,Ballet IV,Barton (Mary L.),08:00:00 AM,09:30:00 AM
22,12/17/14 02:31 AM,12/19/14 02:31 AM,Ballet V,Barton (Mary L.),09:45:00 AM,11:15:00 AM
23,12/18/14 02:31 AM,12/20/14 02:31 AM,Intro. to Organic and Biochem,Benoff (Brian),09:45:00 AM,11:15:00 AM
24,12/19/14 02:31 AM,12/21/14 02:31 AM,Intro to Organic & Biochm Lab,Benoff (Brian),01:10:00 PM,04:10:00 PM
25,12/20/14 02:31 AM,12/22/14 02:31 AM,Organic Chemistry II Lab,Benoff (Brian),01:10:00 PM,04:10:00 PM
26,12/21/14 02:31 AM,12/23/14 02:31 AM,HONORS: Principles of Micro,Bentley (Jerome T.),01:10:00 PM,02:40:00 PM
27,12/22/14 02:31 AM,12/24/14 02:31 AM,Principles of Microeconomics,Bentley (Jerome T.),04:30:00 PM,06:00:00 PM
28,12/23/14 02:31 AM,12/25/14 02:31 AM,Genetics,Bidle (Kelly A.),09:10:00 AM,10:10:00 AM
29,12/24/14 02:31 AM,12/26/14 02:31 AM,Genetics Lab,Bidle (Kelly A.),01:10:00 PM,04:10:00 PM
30,12/25/14 02:31 AM,12/27/14 02:31 AM,Acting IV: Styles of Acting,Blanton (Trenton R.),09:45:00 AM,11:15:00 AM
31,12/26/14 02:31 AM,12/28/14 02:31 AM,Acting II: Scene Study,Blanton (Trenton R.),01:10:00 PM,02:40:00 PM
32,12/27/14 02:31 AM,12/29/14 02:31 AM,General Physics II,Bochanski (John J.),08:00:00 AM,09:00:00 AM
33,12/28/14 02:31 AM,12/30/14 02:31 AM,Astronomy,Bochanski (John J.),10:20:00 AM,11:20:00 AM
34,12/29/14 02:31 AM,12/31/14 02:31 AM,General Physics II Lab,Bochanski (John J.),01:10:00 PM,04:10:00 PM
35,12/30/14 02:31 AM,01/01/15 02:31 AM,General Physics II Lab,Bochanski (John J.),01:10:00 PM,04:10:00 PM
36,12/31/14 02:31 AM,01/02/15 02:31 AM,Modern Geometry,Borcea (Ciprian S.),09:10:00 AM,10:10:00 AM
37,01/01/15 02:31 AM,01/03/15 02:31 AM,Differential Equations,Borcea (Ciprian S.),10:20:00 AM,11:20:00 AM
38,01/02/15 02:31 AM,01/04/15 02:31 AM,Top in Adv Mth:Alge Geometry,Borcea (Ciprian S.),02:50:00 PM,04:20:00 PM
39,01/03/15 02:31 AM,01/05/15 02:31 AM,Expository Writing,Borochok (Luba),08:00:00 AM,09:30:00 AM
40,01/04/15 02:31 AM,01/06/15 02:31 AM,Seminar in Poltical Science,Brogan (Michael J.),02:50:00 PM,04:20:00 PM
41,01/05/15 02:31 AM,01/07/15 02:31 AM,Intro to App. Behavior Analys,Brosvic (Gary M.),02:50:00 PM,04:20:00 PM
42,01/06/15 02:31 AM,01/08/15 02:31 AM,Communication Law,Brown (Pamela A.),11:30:00 AM,12:30:00 PM
43,01/07/15 02:31 AM,01/09/15 02:31 AM,Earth Materls & Processes Lab,Browne (Kathleen M.),02:50:00 PM,05:50:00 PM
44,01/08/15 02:31 AM,01/10/15 02:31 AM,Earth Materls & Processes Lab,Browne (Kathleen M.),02:50:00 PM,05:50:00 PM
45,01/09/15 02:31 AM,01/11/15 02:31 AM,Introductory Oceanography Lab,Browne (Kathleen M.),02:50:00 PM,05:50:00 PM
46,01/10/15 02:31 AM,01/12/15 02:31 AM,Methd Tchg Math in Elem Class,Bulgar (Sylvia),08:00:00 AM,10:59:00 AM
47,01/11/15 02:31 AM,01/13/15 02:31 AM,Methd Tchg Math in Elem Class,Bulgar (Sylvia),11:00:00 AM,02:00:00 PM
48,01/12/15 02:31 AM,01/14/15 02:31 AM,Adv Publicatn Design & Present,Burger (Robert J.),01:10:00 PM,02:40:00 PM
49,01/13/15 02:31 AM,01/15/15 02:31 AM,Medical Ethics,Burgh (Richard),02:50:00 PM,04:20:00 PM
50,01/14/15 02:31 AM,01/16/15 02:31 AM,Music and Society,Burton (Justin D.),09:45:00 AM,11:15:00 AM
51,01/15/15 02:31 AM,01/17/15 02:31 AM,Writing about Music,Burton (Justin D.),01:10:00 PM,02:40:00 PM
52,01/16/15 02:31 AM,01/18/15 02:31 AM,Black Music in America,Burton (Justin D.),01:10:00 PM,02:40:00 PM
53,01/17/15 02:31 AM,01/19/15 02:31 AM,Digital Comp of Pop Music II,Burton (Justin D.),02:50:00 PM,04:20:00 PM
54,01/18/15 02:31 AM,01/20/15 02:31 AM,Sociological Imagination,Butsch (Richard),02:50:00 PM,04:20:00 PM
55,01/19/15 02:31 AM,01/21/15 02:31 AM,Sociological Imagination,Butsch (Richard),02:50:00 PM,04:20:00 PM
56,01/20/15 02:31 AM,01/22/15 02:31 AM,World History Since 1500,Callahan (Thomas),08:00:00 AM,09:30:00 AM
57,01/21/15 02:31 AM,01/23/15 02:31 AM,ResSem:Family History,Callahan (Thomas),08:20:00 AM,11:20:00 AM
58,01/22/15 02:31 AM,01/24/15 02:31 AM,World History Since 1500,Callahan (Thomas),09:45:00 AM,11:15:00 AM
59,01/23/15 02:31 AM,01/25/15 02:31 AM,Stage Lighting,Cardenas-Alaminos (German),08:00:00 AM,09:30:00 AM
60,01/24/15 02:31 AM,01/26/15 02:31 AM,Stagecraft,Cardenas-Alaminos (German),10:20:00 AM,11:20:00 AM
61,01/25/15 02:31 AM,01/27/15 02:31 AM,Stagecraft,Cardenas-Alaminos (German),10:20:00 AM,11:20:00 AM
62,01/26/15 02:31 AM,01/28/15 02:31 AM,Developmental Disabilities,Carlin (Michael T.),11:30:00 AM,12:30:00 PM
63,01/27/15 02:31 AM,01/29/15 02:31 AM,Research Methods: Cognition,Carlin (Michael T.),02:50:00 PM,04:20:00 PM
64,01/28/15 02:31 AM,01/30/15 02:31 AM,Society&indiv. With Disabiliti,Casale-Giannola (Diane P.),08:20:00 AM,11:20:00 AM
65,01/29/15 02:31 AM,01/31/15 02:31 AM,Inclusion/Students Disabil,Casale-Giannola (Diane P.),01:10:00 PM,02:40:00 PM
66,01/30/15 02:31 AM,02/01/15 02:31 AM,Emergent Literacy P-3,Casey (Heather A.),08:00:00 AM,10:59:00 AM
67,01/31/15 02:31 AM,02/02/15 02:31 AM,Emergent Literacy P-3,Casey (Heather A.),11:01:00 AM,02:00:00 PM
68,02/01/15 02:31 AM,02/03/15 02:31 AM,Religion in America,Castagnera (James O.),01:10:00 PM,02:40:00 PM
69,02/02/15 02:31 AM,02/04/15 02:31 AM,Intro to Chemical Systems,Chen (Feng),10:20:00 AM,11:20:00 AM
70,02/03/15 02:31 AM,02/05/15 02:31 AM,Intro to Chemical Systems,Chen (Feng),11:30:00 AM,12:30:00 PM
71,02/04/15 02:31 AM,02/06/15 02:31 AM,Quantitative Methods Lab,Chen (Feng),01:10:00 PM,04:10:00 PM
72,02/05/15 02:31 AM,02/07/15 02:31 AM,Intermediate Corporate Finance,Chiu (Chih-Chieh),02:50:00 PM,04:20:00 PM
73,02/06/15 02:31 AM,02/08/15 02:31 AM,Intermediate Corporate Finance,Chiu (Chih-Chieh),04:30:00 PM,06:00:00 PM
74,02/07/15 02:31 AM,02/09/15 02:31 AM,Derivatives,Chiu (Chih-Chieh),04:30:00 PM,06:00:00 PM
75,02/08/15 02:31 AM,02/10/15 02:31 AM,Expository Writing,Chong (Lisa),01:10:00 PM,02:40:00 PM
76,02/09/15 02:31 AM,02/11/15 02:31 AM,Expository Writing,Chong (Lisa),02:50:00 PM,04:20:00 PM
77,02/10/15 02:31 AM,02/12/15 02:31 AM,Intro to Creative Writing,Clipper (Roberta),01:10:00 PM,02:40:00 PM
78,02/11/15 02:31 AM,02/13/15 02:31 AM,Creative Writing: Fiction,Clipper (Roberta),02:50:00 PM,04:20:00 PM
79,02/12/15 02:31 AM,02/14/15 02:31 AM,Spanish II,Cohen (Daria),11:30:00 AM,12:30:00 PM
80,02/13/15 02:31 AM,02/15/15 02:31 AM,Intro to Latin-Amer/Latino Lit,Cohen (Daria),01:10:00 PM,02:40:00 PM
81,02/14/15 02:31 AM,02/16/15 02:31 AM,Spanish IV,Cohen (Daria),02:50:00 PM,04:20:00 PM
82,02/15/15 02:31 AM,02/17/15 02:31 AM,Emergent Literacy P-3,Coleridge (Mary Susan),08:00:00 AM,10:59:00 AM
83,02/16/15 02:31 AM,02/18/15 02:31 AM,New Venture Planning,Cook (Ronald G.),01:10:00 PM,02:40:00 PM
84,02/17/15 02:31 AM,02/19/15 02:31 AM,Research Writing,Cordonnier (Deborah),10:20:00 AM,11:20:00 AM
85,02/18/15 02:31 AM,02/20/15 02:31 AM,Race Class & Gender in America,Cordonnier (Deborah),02:50:00 PM,04:20:00 PM
86,02/19/15 02:31 AM,02/21/15 02:31 AM,Economics of Health Care Sys,Corman (Hope),01:10:00 PM,02:40:00 PM
87,02/20/15 02:31 AM,02/22/15 02:31 AM,Principles of Microeconomics,Corman (Hope),02:50:00 PM,04:20:00 PM
88,02/21/15 02:31 AM,02/23/15 02:31 AM,Expository Writing,Costantino (Paige E.),10:20:00 AM,11:20:00 AM
89,02/22/15 02:31 AM,02/24/15 02:31 AM,Fund Management & Org Behavior,Cunningham (Quinn W.),11:30:00 AM,01:00:00 PM
90,02/23/15 02:31 AM,02/25/15 02:31 AM,Team Management,Cunningham (Quinn W.),02:50:00 PM,04:20:00 PM
91,02/24/15 02:31 AM,02/26/15 02:31 AM,Developmental Education Psych,Curran (Michael G.),08:00:00 AM,10:59:00 AM
92,02/25/15 02:31 AM,02/27/15 02:31 AM,Struct & Cultr Middle Sch Clsm,Curran (Michael G.),11:30:00 AM,12:30:00 PM
93,02/26/15 02:31 AM,02/28/15 02:31 AM,Social Media for Education,Curran (Michael G.),11:30:00 AM,12:30:00 PM
94,02/27/15 02:31 AM,03/01/15 02:31 AM,Concepts Instuct Media & Tech,Curran (Michael G.),01:10:00 PM,02:40:00 PM
95,02/28/15 02:31 AM,03/02/15 02:31 AM,Directed Study in Instruct,Curran (Michael G.),02:50:00 PM,04:20:00 PM
96,03/01/15 02:31 AM,03/03/15 02:31 AM,Ballet II,Czyzewski (Carol B.),08:00:00 AM,09:30:00 AM
97,03/02/15 02:31 AM,03/04/15 02:31 AM,Ballet III,Czyzewski (Carol B.),09:45:00 AM,11:15:00 AM
98,03/03/15 02:31 AM,03/05/15 02:31 AM,Information Systems Essential,Dailey (James W.),01:10:00 PM,02:10:00 PM
99,03/04/15 02:31 AM,03/06/15 02:31 AM,Integrated Business with SAP,Dailey (James W.),01:10:00 PM,02:40:00 PM
100,03/05/15 02:31 AM,03/07/15 02:31 AM,Quantitative Methods.,Dailey (James W.),02:50:00 PM,04:20:00 PM
101,03/06/15 02:31 AM,03/08/15 02:31 AM,Arts Events & Festivals Mgt,Dellinger (Todd M.),09:10:00 AM,10:10:00 AM
102,03/07/15 02:31 AM,03/09/15 02:31 AM,Commun/Marketing in Arts,Dellinger (Todd M.),10:20:00 AM,11:20:00 AM
103,03/08/15 02:31 AM,03/10/15 02:31 AM,New York Arts Network,Dellinger (Todd M.),01:10:00 PM,04:10:00 PM
104,03/09/15 02:31 AM,03/11/15 02:31 AM,Child Development,Demant (Cara J.),10:20:00 AM,11:20:00 AM
105,03/10/15 02:31 AM,03/12/15 02:31 AM,Statistics and Research Design,Demant (Cara J.),11:30:00 AM,12:30:00 PM
106,03/11/15 02:31 AM,03/13/15 02:31 AM,Law & Justice Senior Seminar,Denbo (Susan M.),01:10:00 PM,02:40:00 PM
107,03/12/15 02:31 AM,03/14/15 02:31 AM,Speech Communication,Dewberry (David),09:45:00 AM,11:15:00 AM
108,03/13/15 02:31 AM,03/15/15 02:31 AM,Speech Communication,Dewberry (David),11:30:00 AM,12:30:00 PM
109,03/14/15 02:31 AM,03/16/15 02:31 AM,Abnormal Psychology,Dewees (Melissa),08:00:00 AM,09:30:00 AM
110,03/15/15 02:31 AM,03/17/15 02:31 AM,Intro To Psychology,Dewees (Melissa),09:45:00 AM,11:15:00 AM
111,03/16/15 02:31 AM,03/18/15 02:31 AM,Autism Spectrum Disorders,Dolyniuk (Chrystina A.),01:10:00 PM,02:40:00 PM
112,03/17/15 02:31 AM,03/19/15 02:31 AM,Employee Compensation Systems,Donovan (John J.),06:30:00 PM,09:30:00 PM
113,03/18/15 02:31 AM,03/20/15 02:31 AM,Developmental Biology,Drawbridge (Julie),08:15:00 AM,11:15:00 AM
114,03/19/15 02:31 AM,03/21/15 02:31 AM,Developmental Biology Lab,Drawbridge (Julie),08:15:00 AM,11:15:00 AM
115,03/20/15 02:31 AM,03/22/15 02:31 AM,Weather and Climate Change,Druckenbrod (Daniel L.),09:45:00 AM,11:15:00 AM
116,03/21/15 02:31 AM,03/23/15 02:31 AM,Weather and Climate Change,Druckenbrod (Daniel L.),09:45:00 AM,11:15:00 AM
117,03/22/15 02:31 AM,03/24/15 02:31 AM,Environmental Biogeochemistry,Druckenbrod (Daniel L.),10:20:00 AM,11:20:00 AM
118,03/23/15 02:31 AM,03/25/15 02:31 AM,Managerial Uses of Accounting,Dunne (Kathleen),01:10:00 PM,02:40:00 PM
119,03/24/15 02:31 AM,03/26/15 02:31 AM,Managerial Uses of Accounting,Dunne (Kathleen),02:50:00 PM,04:20:00 PM
120,03/25/15 02:31 AM,03/27/15 02:31 AM,Managerial Uses of Accounting,Dunne (Kathleen),04:30:00 PM,06:00:00 PM
121,03/26/15 02:31 AM,03/28/15 02:31 AM,NJ Government and Politics,Dworkin (Benjamin),09:45:00 AM,11:15:00 AM
122,03/27/15 02:31 AM,03/29/15 02:31 AM,Communication Ethics,Ebo (Bosah),10:20:00 AM,11:20:00 AM
123,03/28/15 02:31 AM,03/30/15 02:31 AM,Senior Seminar Communication,Ebo (Bosah),11:30:00 AM,12:30:00 PM
124,03/29/15 02:31 AM,03/31/15 02:31 AM,Comm  Culture and Media,Ebo (Bosah),01:10:00 PM,02:10:00 PM
125,03/30/15 02:31 AM,04/01/15 02:31 AM,Writing for Broadcast,Edelstein (Jeffrey D.),09:45:00 AM,11:15:00 AM
126,03/31/15 02:31 AM,04/02/15 02:31 AM,Management Information Systems,Eder (Lauren B.),09:45:00 AM,11:15:00 AM
127,04/01/15 02:31 AM,04/03/15 02:31 AM,Management Information Systems,Eder (Lauren B.),01:10:00 PM,02:40:00 PM
128,04/02/15 02:31 AM,04/04/15 02:31 AM,Freshman Seminar II,Elgin (Megan A.),11:30:00 AM,12:30:00 PM
129,04/03/15 02:31 AM,04/05/15 02:31 AM,Freshman Seminar II,Elgin (Megan A.),11:30:00 AM,12:30:00 PM
130,04/04/15 02:31 AM,04/06/15 02:31 AM,Publication Design,Ersolmaz (Lori H.),01:10:00 PM,04:10:00 PM
131,04/05/15 02:31 AM,04/07/15 02:31 AM,Organic Chemistry II Lab,Fobare (William),08:15:00 AM,11:15:00 AM
132,04/06/15 02:31 AM,04/08/15 02:31 AM,Spanish III,Fontanet (Hernan J.),02:50:00 PM,04:20:00 PM
133,04/07/15 02:31 AM,04/09/15 02:31 AM,Adv Graphic Design & Portfolio,Franko (Jessica B.),02:50:00 PM,04:20:00 PM
134,04/08/15 02:31 AM,04/10/15 02:31 AM,Understanding Politics,Franz (Barbara),09:45:00 AM,11:15:00 AM
135,04/09/15 02:31 AM,04/11/15 02:31 AM,Nationalism in World Politics,Franz (Barbara),01:10:00 PM,02:40:00 PM
136,04/10/15 02:31 AM,04/12/15 02:31 AM,Nationalism in World Politics,Franz (Barbara),01:10:00 PM,02:40:00 PM
137,04/11/15 02:31 AM,04/13/15 02:31 AM,Gender  War and Peace,Franz (Barbara),02:50:00 PM,04:20:00 PM
138,04/12/15 02:31 AM,04/14/15 02:31 AM,World History Since 1500,Frary (Lucien),08:00:00 AM,09:00:00 AM
139,04/13/15 02:31 AM,04/15/15 02:31 AM,World History Since 1500,Frary (Lucien),09:10:00 AM,10:10:00 AM
140,04/14/15 02:31 AM,04/16/15 02:31 AM,Imperial Russia,Frary (Lucien),10:20:00 AM,11:20:00 AM
141,04/15/15 02:31 AM,04/17/15 02:31 AM,Europe Since 1715,Frary (Lucien),01:10:00 PM,02:10:00 PM
142,04/16/15 02:31 AM,04/18/15 02:31 AM,BUSD Freshman Seminar II,Friedman (Kendall A.),02:50:00 PM,03:50:00 PM
143,04/17/15 02:31 AM,04/19/15 02:31 AM,Script Analysis,Fuller (Ivan),09:45:00 AM,11:15:00 AM
144,04/18/15 02:31 AM,04/20/15 02:31 AM,Theatre History Since 1700,Fuller (Ivan),11:30:00 AM,12:30:00 PM
145,04/19/15 02:31 AM,04/21/15 02:31 AM,Theatre History Since 1700,Fuller (Ivan),01:10:00 PM,02:10:00 PM
146,04/20/15 02:31 AM,04/22/15 02:31 AM,Theatre History Since 1700,Fuller (Ivan),01:10:00 PM,02:10:00 PM
147,04/21/15 02:31 AM,04/23/15 02:31 AM,Marine Vertebrates Lab,Gallagher (William B.),01:10:00 PM,04:10:00 PM
148,04/22/15 02:31 AM,04/24/15 02:31 AM,Marine Vertebrates Lab,Gallagher (William B.),01:10:00 PM,04:10:00 PM
149,04/23/15 02:31 AM,04/25/15 02:31 AM,Advertising Principles,Gao (Zhihong),09:10:00 AM,10:10:00 AM
150,04/24/15 02:31 AM,04/26/15 02:31 AM,Advertising Principles,Gao (Zhihong),10:20:00 AM,11:20:00 AM
151,04/25/15 02:31 AM,04/27/15 02:31 AM,Interactive Advertising,Gao (Zhihong),02:50:00 PM,04:20:00 PM
152,04/26/15 02:31 AM,04/28/15 02:31 AM,Accounting Info Systems,Gardner (Robert),04:30:00 PM,06:00:00 PM
153,04/27/15 02:31 AM,04/29/15 02:31 AM,Contexts Of Schoolng,Garrett (Tracey),08:00:00 AM,02:00:00 PM
154,04/28/15 02:31 AM,04/30/15 02:31 AM,Effective Classroom Management,Garrett (Tracey),01:10:00 PM,04:10:00 PM
155,04/29/15 02:31 AM,05/01/15 02:31 AM,Acting IV: Styles of Acting,Gill (Carter P.),02:50:00 PM,04:20:00 PM
156,04/30/15 02:31 AM,05/02/15 02:31 AM,Intermediate Macroeconomics,Gishlick (Herbert E.),09:45:00 AM,11:15:00 AM
157,05/01/15 02:31 AM,05/03/15 02:31 AM,Principles of Microeconomics,Gishlick (Herbert E.),01:10:00 PM,02:40:00 PM
158,05/02/15 02:31 AM,05/04/15 02:31 AM,Social & Legal Environment Bus,Goldberg (Ilene V.),09:10:00 AM,10:10:00 AM
159,05/03/15 02:31 AM,05/05/15 02:31 AM,Social & Legal Environment Bus,Goldberg (Ilene V.),10:20:00 AM,11:20:00 AM
160,05/04/15 02:31 AM,05/06/15 02:31 AM,Intro Seminar in Law & Justice,Goldberg (Ilene V.),11:30:00 AM,12:30:00 PM
161,05/05/15 02:31 AM,05/07/15 02:31 AM,Musical Theatre Practicum,Goldberg (Louis F.),01:10:00 PM,02:40:00 PM
162,05/06/15 02:31 AM,05/08/15 02:31 AM,Food Writing,Goldie (Matthew B.),01:10:00 PM,02:40:00 PM
163,05/07/15 02:31 AM,05/09/15 02:31 AM,History of the Eng Language,Goldie (Matthew B.),02:50:00 PM,04:20:00 PM
164,05/08/15 02:31 AM,05/10/15 02:31 AM,Expository Writing,Goldstein (Selma),10:20:00 AM,11:20:00 AM
165,05/09/15 02:31 AM,05/11/15 02:31 AM,Expository Writing,Goldstein (Selma),11:30:00 AM,12:30:00 PM
166,05/10/15 02:31 AM,05/12/15 02:31 AM,Sensation and Perception,Golski (Stephanie),09:45:00 AM,11:15:00 AM
167,05/11/15 02:31 AM,05/13/15 02:31 AM,Resrch Methds Human Cog Neuro,Golski (Stephanie),01:10:00 PM,04:10:00 PM
168,05/12/15 02:31 AM,05/14/15 02:31 AM,Human Cognitive Neuro Lab,Golski (Stephanie),01:10:00 PM,04:10:00 PM
169,05/13/15 02:31 AM,05/15/15 02:31 AM,Globl Supply Chn Mgt: Internal,Gong (Linguo),01:10:00 PM,02:40:00 PM
170,05/14/15 02:31 AM,05/16/15 02:31 AM,Production and Operations,Gong (Linguo),02:50:00 PM,04:20:00 PM
171,05/15/15 02:31 AM,05/17/15 02:31 AM,Quantitative Methods Lab,Grushow (Alexander),01:10:00 PM,04:10:00 PM
